date,ret_lag_1_cs,ret_lag_2_cs,ret_lag_3_cs,mom_2_6_cs,mom_2_12_cs,vol_3m_cs,vol_6m_cs,vol_12m_cs,price_ma_6_ratio_cs,price_ma_12_ratio_cs,log_mkt_cap_cs,turnover_cs,turnover_3m_cs,turnover_12m_cs
2012-12-31,1.0808184062206248e-17,-1.8179206648747643e-17,3.481864442833906e-17,-4.100752188307665e-17,-1.7722242984352893e-17,-1.2222784623289124e-16,1.0955207154228907e-16,-6.72729985930705e-17,-5.96039562254021e-18,1.9947457350101237e-17,3.30603277196897e-17,-3.3378215486225177e-18,4.208039309513389e-17,-1.5497028618604546e-17
2013-01-31,4.805907589947663e-18,-1.3075181783177449e-17,-1.9846258063751484e-18,1.929173026491137e-17,3.314398060830556e-17,-4.6307935482086793e-17,1.7021084857029214e-16,-4.222194117484384e-17,-1.976842960075638e-17,-2.299831081505319e-17,-6.816995073741147e-16,-3.8486174951078855e-17,-1.387681495202702e-16,-3.385538140287018e-18
2013-02-28,-2.5543742015793888e-17,-2.6385413208651463e-17,2.301872843722116e-17,-2.458462833090967e-17,6.733369542860611e-18,7.146375639820957e-17,-1.0890833760603616e-16,-8.565472418476173e-17,2.458462833090967e-17,2.6972625668784658e-17,1.1659690608404677e-15,4.032192226247924e-17,5.1948728973116457e-17,7.132674015751182e-17
2013-03-28,4.737572892769118e-18,1.8076558865442826e-17,-1.1300276326195193e-17,7.72768037427094e-18,8.077173456524398e-18,-1.3131231751556372e-16,-9.310107385585215e-17,-1.310210732803525e-16,8.607844723432169e-17,2.3816497334397213e-17,-8.852271447833183e-16,1.5105867666288418e-16,3.9259722906471955e-17,-2.617314860431464e-17
2013-04-30,-2.8715338796190304e-17,-2.2413863368261978e-17,-6.547717698496601e-17,5.3863073042415036e-17,2.0552504472627765e-18,-1.1156519880707562e-16,3.7362901998824254e-17,2.0327590272738634e-16,3.581176958579574e-17,1.5705215681913672e-17,-8.422649002744814e-17,-2.295675971282196e-17,-4.1027452324604106e-17,-3.91660934289699e-17
2013-05-31,1.165830050038161e-17,-5.70834878119014e-17,-3.811957466243197e-17,7.861682903217861e-18,-1.3537434462614171e-17,1.6229581486057555e-16,4.924097974503285e-17,-1.19650978819706e-17,7.823333230519237e-18,1.015499333059556e-16,-3.9331424319708483e-16,1.371384295702784e-16,9.832856079927121e-17,5.2999247669497974e-17
2013-06-28,6.660574320420616e-17,2.4442474570350883e-18,5.4403601602288806e-17,2.734501842558005e-17,-7.622996756628182e-17,-1.0632476438102634e-16,3.0247562280809216e-17,-5.89674699009715e-17,5.209302392806032e-17,-4.2316034099919964e-17,-6.2465799073852975e-16,-8.249335167493423e-18,6.691127413633555e-17,3.421946439849124e-17
2013-07-31,-7.747491296503464e-18,-1.5043672420395074e-17,3.0087344840790152e-18,9.327076900644946e-18,-1.1433191039500258e-17,-1.4712711627146383e-16,8.364281865739662e-17,5.671464502488943e-17,4.3024903122329915e-17,-3.114040191021781e-17,-2.5927769416550913e-16,8.213845141535711e-17,-7.762534968923859e-17,1.2411029746825937e-16
2013-08-30,-1.0296848119913317e-16,2.340877021413042e-17,3.853791109207323e-17,-6.503272496787357e-17,-1.9268955546036616e-17,-6.924780899356909e-18,-6.081764094217807e-17,6.051656351177124e-17,-3.5226059357598187e-17,-8.460275794431701e-17,-6.665101615631025e-16,-1.1952773987150837e-16,1.535494895074793e-17,-1.291622176445267e-16
2013-09-30,-2.0842269319144742e-17,8.336907727657897e-17,-5.880497415044409e-18,8.932401136776318e-18,-5.508314034345396e-17,-1.778106101289536e-17,5.89538475027237e-17,-1.3100855000605267e-17,-5.359440682065791e-18,-4.079129852461185e-17,3.4404631711816786e-16,-2.2331002841940796e-17,-1.2207614886927635e-17,-3.453861772886843e-17
2013-10-31,-3.8037141507439155e-17,1.2803108296046056e-17,6.848174204861844e-18,-1.3696348409723687e-17,4.466200568388159e-18,-1.1191554257619328e-16,7.265019591244739e-17,-1.8043450296288162e-16,2.5606216592092113e-17,8.277358386746055e-17,3.9741741391040636e-16,-1.5185081932519742e-17,1.036158531866053e-16,4.912820625226975e-17
2013-11-29,3.4853692558900826e-17,-6.701213135000529e-17,3.9874987249589926e-18,-5.907405518457767e-18,3.7512025042206817e-17,-1.4916198934105862e-16,5.405276049388856e-17,-1.3070134709587808e-16,-1.949443821091063e-17,6.2175443081768e-17,4.373695360728169e-16,1.1283144540254336e-16,7.384256898072208e-17,1.82538830520345e-16
2013-12-31,4.413127389757121e-17,-2.57188880992468e-17,6.868112162867043e-18,1.534365483193701e-17,-2.2211766994804054e-17,-2.630340828332059e-17,-6.809660144459663e-17,2.5134367915173008e-17,2.1042726626656472e-17,-1.0923220939878967e-17,-5.474031523851052e-16,-1.1368917580235233e-16,-2.7764708743505065e-17,-1.665882524610304e-17
2014-01-31,5.10112318501877e-18,2.331942027437152e-17,2.623434780866796e-18,-6.115654604182101e-18,5.4509144891343424e-17,1.0610336224839041e-16,6.09219854667956e-17,1.7635311582493462e-17,6.529437676824026e-17,1.9238521726356502e-17,-3.564956374444546e-16,1.2534188397474692e-17,-7.870304342600388e-18,2.3027927520941874e-17
2014-02-28,-1.1145654875637164e-17,2.9601122364516884e-17,3.0831486863775536e-17,2.926639084633622e-17,-2.8949752923732897e-18,-3.7345181271615434e-17,-1.0856157346399836e-18,-7.49798600724682e-17,-2.5294846617111617e-17,2.880500415911423e-17,-7.613785018941752e-17,7.555885513094286e-17,-3.937166397627674e-17,1.0335061793772644e-16
2014-03-31,2.9220202081339627e-17,1.1572357259936486e-17,3.016045610870946e-17,9.944994520257917e-18,1.2729592985930133e-17,-8.420698087425658e-17,1.0415121533942836e-16,9.026438662750459e-17,-2.8930893149841214e-18,-3.789947002629199e-17,-3.478939901268406e-17,-8.100650081955539e-18,-9.286816701099029e-17,7.232723287460303e-17
2014-04-30,3.0526590529791538e-18,-3.343388486596216e-18,-5.0877650882985895e-18,6.962969935128641e-17,4.477233277702759e-17,-8.140424141277743e-17,2.2168119313300999e-16,-9.913873686341823e-17,-8.721883008511868e-18,4.41181915513892e-17,1.0655233742065332e-16,-4.535379164426171e-17,2.703783732638679e-17,1.3722429266725338e-16
2014-05-30,2.4136073946225142e-17,6.184073204006442e-18,-1.0622055150411064e-17,4.6889825646848843e-17,7.799207617288125e-17,-7.028017311847321e-17,-1.989088957618072e-16,-1.2688263138573217e-16,-8.439441078408791e-18,-3.106587362483236e-17,4.816301718885017e-16,-4.714446395524911e-17,-3.4048779523235467e-17,-4.1033144553642746e-17
2014-06-30,-1.0257495336210685e-17,-1.646242447286491e-17,-6.3400146766394405e-18,6.916379647243026e-18,1.700276663280577e-17,4.1822483179422673e-17,-1.4610852004800893e-16,-2.3630963794747004e-17,-1.1491276601408986e-17,2.6656879890415827e-17,2.8191451624647873e-16,1.0230478228213642e-16,2.7665518588972105e-17,-1.9596409000521907e-17
2014-07-31,9.994179869424109e-18,-8.731328337010465e-18,-2.659683012352177e-17,-2.8968637302678577e-19,3.215518740597322e-17,-4.526349578543528e-20,1.4165663641009824e-16,-8.654380394175226e-17,-2.3319753028656255e-17,5.576462680765626e-18,5.398305561354153e-16,-1.1877141294098217e-17,-1.5353377770419646e-17,4.113546496980358e-17
2014-08-29,-4.1682496241559226e-17,5.810179073191196e-17,-1.502570910379396e-17,3.551856087793388e-17,-4.6452846218625795e-17,-4.9097085157224496e-17,9.362035160984583e-17,-4.916855107448392e-17,2.7210647996525805e-17,-4.14502320104661e-18,9.860152604282772e-16,5.14554604267855e-18,-3.001568524895821e-17,2.658532122050584e-17
2014-09-30,3.899319891366403e-17,-1.3773986468113731e-17,-6.238911826186246e-17,1.2943575750507923e-17,3.899319891366404e-18,-3.877657003081034e-17,2.7439658494800617e-18,-1.3864248502636101e-17,1.8124616532091985e-17,-2.4551273390084762e-18,5.735610721689508e-16,4.303693806026623e-17,-2.7150819984329033e-17,-4.8524869759226354e-17
2014-10-31,1.396392892782376e-17,2.538896168695229e-17,3.226211631506294e-17,4.8601726657880094e-18,-4.649806983238976e-17,1.609660170952775e-16,2.332157480672903e-17,1.2346289368912228e-16,-4.370528404682501e-17,-4.3523934320489635e-19,-3.479738548923147e-16,-5.745159330304632e-17,-4.81664873146752e-17,-9.865425112644318e-17
2014-11-28,-4.453927985286831e-18,8.618169597546877e-18,-3.05619123543259e-17,-6.481732596474332e-18,1.4122210685055806e-17,-1.344144770844286e-16,-1.6142773136917638e-16,1.0356287835707591e-16,-2.0889103304978382e-18,-3.0525701557697554e-17,6.822114084780805e-17,-5.822696097838394e-17,-6.51794339310268e-17,2.4333655334250005e-17
2014-12-31,1.9740770910354345e-17,1.3455068412501897e-17,1.0576978912501491e-17,3.5832214275005055e-17,1.0936740100001541e-17,-2.7179957715628833e-17,2.9867373786254213e-16,-5.2740990087507436e-17,-1.8185928028127563e-17,1.969692501562778e-17,5.10429172825072e-16,5.2956846800007464e-17,-1.6980728050002395e-17,1.3642144230001924e-16
2015-01-30,3.178257194762973e-17,4.2815052089251906e-18,-2.416197799200487e-17,-9.028011115379623e-18,9.534771584288918e-18,-7.618788127673284e-17,2.163923634366176e-16,7.902303116069754e-17,-2.777363389514461e-17,-2.806256636739579e-17,-3.059794881139989e-16,-4.0450546115165105e-17,6.84769959235295e-17,-1.0950540698319696e-16
2015-02-27,1.2775662033774086e-17,-1.1372138599077779e-17,-1.2599096986300273e-17,3.3648574652334567e-18,2.2132484931749475e-17,6.646943035600208e-17,-4.7072016732891565e-17,1.2962798491733595e-16,-4.2753483087672156e-17,6.837678271597398e-18,6.641904746347452e-16,5.297401271469142e-17,-9.90383715970318e-17,7.571828991284698e-17
2015-03-31,-7.711988229591331e-17,3.1086244689504386e-17,1.0398186376977076e-17,1.668042397973406e-17,7.401486830834377e-18,6.679390554655414e-18,-1.0993915804824721e-16,2.094440249057084e-16,3.292759019376074e-17,-4.6539104999734204e-17,2.932432977562771e-16,1.0484837930118551e-16,-1.4124203162060528e-16,6.961008102365209e-17
2015-04-30,-6.422479635465644e-18,-1.1076973303864903e-17,2.886507701332874e-19,-5.556527325065782e-18,1.912311352133029e-17,4.650885533772593e-17,-4.7194400916792486e-17,-8.484528574605316e-17,-1.0463590417331668e-17,-8.948173874131909e-18,-7.828208886014753e-16,2.5112617001596e-17,1.5442816202130874e-16,5.48436463253246e-18
2015-05-29,-1.4409124265089636e-19,-9.005702665681022e-18,-2.842199761288931e-17,-5.043193492781373e-19,-1.538174015298319e-17,-7.705279200756684e-17,-1.1215702099839146e-16,-2.3398616665972433e-16,2.0983287211036784e-17,1.1860510410701908e-17,3.608044715978445e-16,-6.224741682518723e-17,7.492744617846611e-17,1.4956670987163042e-16
2015-06-30,-1.6689391571475568e-17,-1.5139404881252134e-17,-2.3430031363842588e-17,-8.0022568658047e-18,2.2317104874060065e-17,-4.779726398223888e-17,1.371557989837247e-16,5.839484739911537e-18,-2.559280348973575e-17,3.0909618299223105e-17,-1.9313555084225937e-16,-8.405974329304756e-17,5.190653102143589e-17,-8.218534078394016e-17
2015-07-31,1.501786341459301e-18,-1.098868054726318e-18,-5.274566662686326e-18,2.4376556347345487e-17,1.2710240499667745e-17,3.8643526591208845e-18,-2.4865552631698696e-16,-2.7599902641209353e-17,-5.49434027363159e-18,-9.157233789385982e-19,-3.7508029601324984e-17,-1.3655267026732377e-16,6.94484610587033e-17,1.1574743509783882e-16
2015-08-31,1.1250041003967933e-17,-4.4890674565711456e-18,2.7043894189587146e-17,-1.2883258635525321e-17,-7.121376320841015e-18,-1.1769203480144556e-16,-1.3945306302079958e-16,-2.5967247929677808e-17,6.71535294316334e-18,-1.8722695977406486e-17,-9.335800450332513e-17,5.693451408334136e-17,9.635071614103923e-17,1.0861353455898967e-16
